"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"ABW",0,0,0,0,0,1,0,2,36,2,0,0,2,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,0,132,2,0,1,57,0,0,0,0,587,0,0,6,0,81,0,0,11,0,1,461,0,1,0,0,0,9,0,0,0,0,9,0,0,379,0,0,0,0,0,0,0,34,23,0,3,0,17,0,0,0,78,0,0,11,4,0,0,0,1,1,43,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,525,0,0,1,0,0,1,62,104,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,1234,0,15,337,78,0,0,0,0,0,0,0
"AFG",0,0,0,0,501,4,0,0,5859,801,23,0,7,0,0,0,22,50,0,0,132,0,0,0,0,0,0,0,0,11014,600,0,9,0,0,0,0,0,24,0,0,0,0,0,1,49,19729,0,1509,0,0,9,16,0,0,418,0,0,167,0,575,0,0,7158,32,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,229,0,1348,99,320492,27,0,562,20,0,7,0,19,0,10,0,0,2,217,0,0,0,23,0,8,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,17,6841,342,0,314,1,829774,0,0,695,0,26,0,0,0,0,0,0,46,0,0,1625,0,16866,0,0,1,0,0,0,0,0,0,0,0,221,0,905,0,0,60,0,0,17,8132,200,0,0,0,0,934,0,0,570,0,19784,239,0,0,0,0,0,0,0,7,0,0
"AGO",0,0,0,0,0,2,0,0,41,21,0,1,64,0,0,0,0,0,0,0,0,0,0,670,0,0,0,134,1,241,424,0,5,0,1,0,31276,2645,5,0,570,0,11,0,0,7,7,0,10,0,0,2,2,49,0,250,0,0,9,0,1184,0,58,532,0,0,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,52,0,0,2,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,6,0,0,0,0,1672,0,0,0,0,0,0,4482,0,0,0,0,327,10,0,0,0,0,0,1,230,0,3,0,0,17587,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,0,0,0,361,0,2,0,40,14,0,0,1,0,0,0,0,0,0,0,0,0,59,2,0,0,482,0,0,19,0,0,0,0,0,1957,21090,0
"ALB",0,0,0,0,0,21,1,0,261,212,0,0,223,0,0,0,126,0,0,0,0,0,0,3,0,0,0,0,0,2942,135,0,3,0,0,0,0,0,5,0,0,1,14,0,38,30,1814,0,36,0,0,14,9,0,0,354,0,0,17,0,388,0,0,937,8,0,0,0,0,0,0,154740,0,0,0,0,0,0,0,54,0,25,0,0,162,0,0,6,1,70563,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,28,3,0,0,0,0,0,1,8169,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,64,0,0,0,0,0,0,59,0,8,0,0,18,0,0,0,0,0,61,96,0,0,0,0,0,0,0,0,0,45,0,0,0,32,8,43,0,0,0,0,0,0,0,0,0,0,0,0,1091,0,0,0,0,19624,0,0,3,0,0,0,0,0,22,0,0
"ARE",1,233,0,1,0,2,1,1,1157,60,0,0,31,0,0,26881,17,1280,0,0,15,0,2,13,1,18,3,1,8,4997,158,4,4,62,0,2,17,0,20,0,0,3,0,0,56,11,131,5,153,3,23,3,26687,445,0,392,0,407,25,1,352,0,0,5636,0,0,0,0,0,0,0,81,0,0,0,6,0,158,4,0,0,107,10591,96158,207,32,118,3,49,91,3,4234,175,1,26,0,707,0,131,7769,0,1058,5,764,1,4516,0,3,1,2,1,299,0,0,4,136,1,0,7,5,0,0,0,7,0,0,0,2728,0,1,0,0,236,0,248,87,292,36,1202,29518,2,1,12417,0,39,44,1,8,0,5121,0,14198,0,3,94,0,1151,4350,0,140,0,1,0,353,8,1652,0,0,40,2,184,0,0,2149,179,0,515,0,0,2,0,3,196,1627,1,66,10,0,7151,0,0,6,0,83,0,0,6610,99,0,1
"ARG",1,2,135,165,27,0,98,4,2769,612,8,0,728,0,2,83,185,6,7,21,156,3,30341,15950,2,1,0,7,1,6227,1511,1,40665,1575,0,0,0,8,1265,0,17,632,261,0,74,800,7987,0,588,2164,27,1505,85,0,0,103854,30,6,114,0,4852,1,1,6564,21,1,6,2,0,0,157,532,2,63,2,0,8,66,235,236,169,632,7,24,1953,36,10,52,8553,31707,10,34,2270,24,1,3,74,0,1503,11,67,255,73,23,2,6,0,168,433,139,0,52,104,2,0,5133,779,0,19,2,0,0,2,6,2,1,0,20,0,10,2,0,10,85,868,361,0,202,0,1,512,8306,814,0,2796,812,24,3034,53587,9,2,2,1,305,1088,0,82,2,0,7,0,3,37,0,59,0,0,11,607,257,1021,0,0,364,0,0,91,1,1,2,0,16,16,2898,0,0,719,20917,70582,7,0,2544,0,10,1,0,0,1082,0,0
"ARM",0,0,0,259,1,358,0,0,608,581,81290,0,8,0,0,0,270,0,0,0,3351,0,1,8,0,0,0,0,0,851,193,0,4,12,0,0,0,1,2,0,1,4,0,0,404,366,10588,0,192,3,0,11,13,0,0,1195,310,0,399,0,2091,0,0,767,9557,0,2,0,0,0,0,2406,0,0,0,0,0,0,0,1,0,100,0,0,87,1560,1,5,780,212,0,6,38,2419,0,916,1,0,31,1,0,128,0,19,0,0,0,98,5,739,0,0,21,0,0,54,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,166,78,0,9,0,0,2,1,119,0,285,0,0,81,0,0,0,0,0,1,190848,0,12,0,0,0,0,0,0,0,34,0,0,0,102,4,165,0,0,379,0,0,0,31,965,0,0,0,0,2144,0,0,33392,0,42154,2712,0,14,0,0,0,0,0,48,0,0
"ATG",1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,58,0,0,0,0,276,17,0,1,11,0,0,0,0,3,0,0,0,2,1,0,1,6,0,0,173,0,0,2,0,0,2,0,3,0,0,6,0,0,1245,0,2,0,6,0,0,0,1,22,0,2,0,265,0,1,0,2,0,0,5,0,0,0,0,0,8,206,0,1,0,0,0,0,0,0,0,0,4,0,0,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,48,0,0,4,26,8,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,16,0,0,0,0,0,0,0,58,0,0,0,0,0,0,4376,0,55,6,433,0,0,0,0,4,0,0
"AUS",8,746,212,938,232,1888,65,7,0,3069,18,1,1355,2,2,772,325,88,55,2153,208,6,135,1109,52,434,5,107,5,12616,2388,141,3739,16274,8,7,30,14,458,0,3,145,55,4,5236,2621,25792,9,1972,112,120,270,4496,123,0,6573,644,250,1556,4291,4092,1,5,154396,30,202,7,4,1,1,4,19444,8,38,2,11,42,14696,54,5525,11,3813,10562,9277,10224,2455,1765,126,1692,29413,104,456,6620,97,560,21,24285,35,5057,254,1339,7774,60,277,11,4582,4,555,270,1377,345,133,40,19,16,823,4440,1,7160,1300,312,5,80,1,4,2098,46,14000,0,145,204,1,163,88,13722,879,124,45255,36,1101,58,713,12963,921,9624,129,67,2807,62,227,58,63,14,1292,2266,3,478,269,20,18435,118,29,937,197,4994,0,0,9,3135,1042,1698,25,206,688,2,1,5769,8,4,638,630,147,55,4697,129,111,2173,1328,56085,65,6,255,1,21471,107,913,35,10591,303,711
"AUT",3,545,117,235,26,452,170,4,5995,0,86,4,1394,7,9,206,1123,3,13,9004,188,5,96,1518,2,11,2,40,14,6592,8378,1,269,1714,20,50,48,29,197,0,3,79,73,0,141,8165,50026,2,772,852,100,194,1163,6,0,4449,58,84,254,1,4459,0,3,6146,190,197,42,1,39,4,7,949,1,26,0,1,3,512,36,6400,65,4623,110,1061,1073,1324,401,69,2144,4252,21,103,765,177,61,94,1597,0,191,25,10,137,124,102,9,57,0,78,224,151,48,135,128,6,3,1009,1470,7,51,6,1334,62,4,2,1,14,2,225,0,119,0,3,645,22,2646,591,39,865,3,436,46,191,2665,4,6523,165,236,467,23,19,0,8,1,2961,4269,10,65,39,21,209,1,21,6,76,13750,0,0,3,5889,4110,2441,2,2,226,1,17,605,33,14,0,0,12,279,17328,9,17,714,23,24345,84,1,355,1,381,0,0,8,1378,8,13
