"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"ABW",0,0,0,0,1,1,0,2,18,1,0,0,10,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,646,2,0,29,132,0,0,0,0,1075,0,0,5,0,587,0,0,6,0,3,552,0,5,0,0,0,21,0,0,0,0,12,0,0,214,0,0,0,0,0,0,0,0,19,0,7,0,22,0,0,0,185,0,0,35,1,0,0,0,0,5,63,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2359,1,0,1,0,0,2,100,110,0,0,3,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,119,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1643,0,9,413,191,0,0,0,0,1,0,0
"AFG",0,0,0,0,790,1,2,0,5347,1002,28,0,1422,0,0,0,40,70,0,0,140,0,0,8,0,0,0,0,0,7478,1464,0,5,0,0,0,0,0,13,0,0,0,0,0,1,52,10244,0,1431,0,0,12,16,0,0,53,6,0,565,0,718,0,0,5158,7,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,159,0,1369,16,250172,39,1,291,916,0,8,0,443,0,1,0,0,0,272,0,0,0,31,0,13,0,2,0,4,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,54,0,5,0,0,0,6,3765,1474,0,277,6,188217,0,0,125,0,17,0,0,0,0,0,0,182,0,0,10610,0,38919,0,0,4,0,0,0,0,0,0,0,0,36,3,3458,0,0,125,0,0,0,4750,31,0,0,0,0,1549,0,0,1253,0,8152,337,0,0,0,0,0,0,0,16,0,0
"AGO",0,0,0,0,0,1,0,0,68,43,0,9,759,0,0,0,1,0,0,0,0,0,1,928,0,0,0,67,1,511,858,1,19,0,4,264,22794,4641,6,0,748,0,4,0,0,23,9,0,20,0,0,5,2,40,0,427,1,0,64,0,2692,0,139,1456,0,0,30,0,0,1,10,1,0,0,0,0,0,0,0,0,0,10,0,0,54,0,0,4,0,247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,153,0,0,0,0,4320,0,0,0,1,0,0,4666,0,0,0,0,652,60,0,1,0,0,0,1,9,0,7,0,0,20397,0,0,0,0,0,0,74,93,0,0,0,0,0,0,0,0,0,4,695,0,3,0,89,14,0,0,3,0,0,0,0,0,0,0,0,0,114,12,0,0,1706,0,0,23,0,0,0,0,0,7621,3797,0
"ALB",0,0,0,0,0,9,1,0,734,960,0,0,3679,0,0,0,241,0,0,0,0,0,0,3,0,0,0,0,0,3893,1533,0,25,0,0,0,0,0,6,0,0,0,4,0,63,140,4823,0,110,0,0,22,8,0,0,246,20,0,225,0,1254,0,0,2130,4,0,8,0,0,0,0,45240,0,0,0,0,0,0,0,26,0,98,0,0,27,0,0,10,2,130129,0,0,2,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,123,4,0,0,8,0,0,1,12435,99,48,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,380,550,0,0,0,0,0,0,10,0,25,0,0,16,0,0,0,0,0,75,118,0,0,0,0,0,0,0,0,0,76,0,0,0,47,75,1329,0,0,0,0,0,0,0,0,0,0,0,1,603,0,0,0,7,23504,0,0,3,0,0,0,0,0,138,0,0
"ARE",2,4203,0,1,0,4,100,2,8015,1159,3,0,614,1,0,101569,262,1364,6,0,29,2,2,248,0,13,11,2,9,17180,1278,4,52,90,0,3,4,6,32,0,0,0,0,5,347,199,3545,14,510,7,69,24,106130,1881,0,454,25,2048,315,3,4123,0,48,13543,1,3,19,2,0,0,19,201,0,6,3,18,1,130,6,5,1,447,35203,382522,154,89,2091,10,736,6900,1,119786,341,64,58,1,1,0,123,46619,0,18297,1,1600,0,11742,0,31,49,15,20,1085,1,8,59,12,98,1122,102,11,1,1,3,9,2,13,1,993,3,5,22,1,1545,0,1501,666,1941,99,18963,110869,11,2,59506,7,124,2,4,125,0,15394,1,14997,196,52,565,0,16291,13909,2,302,0,1,1,1081,21,1637,0,4,102,17,2909,0,4,9433,716,0,1408,6,0,1,0,1,748,13791,3,70,96,1,26694,0,0,14,9,11,0,0,22705,1024,7,1
"ARG",1,1,3,11,2,0,81,0,5344,1189,9,0,1087,0,1,1,183,2,49,1,199,2,56182,21017,1,0,0,0,0,50843,4721,1,31969,1671,0,0,0,5,1181,0,4,339,147,9,43,560,12209,0,646,459,14,2652,63,0,0,51744,66,4,310,0,6073,0,1,4891,11,0,94,1,0,0,1,313,1,288,1,0,0,4,135,177,223,386,3,12,83,17,38,34,14343,61166,1,100,1476,336,0,2,2,0,914,13,29,364,0,8,0,2,0,54,267,20,0,33,198,1,2,4545,162,4,48,1,10,1,2,7,1,0,0,0,0,17,1,0,5,60,1364,706,0,830,2,1,1001,18550,31,3,927,167,3,1172,76945,33,0,7,3,1399,2439,0,19,1,0,1,0,0,70,0,55,0,0,2,302,304,1356,0,0,128,0,0,12,1,1,0,0,4,19,367,0,0,867,36143,66788,23,0,1474,1,1,3,0,0,2715,0,0
"ARM",0,0,0,0,1,42,0,0,124,274,29849,0,216,0,0,0,134,0,0,0,1203,0,0,5,0,0,0,0,0,369,247,0,8,0,0,0,0,0,0,0,0,1,0,0,115,371,1141,0,60,0,0,3,10,0,0,750,93,0,15,0,1598,0,0,118,3691,0,5,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,28,0,0,4,796,106,2,29,166,0,12,0,3819,0,239,0,0,0,0,0,85,0,18,0,0,0,50,0,68,0,0,2,0,0,8,1,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,121,37,0,0,0,0,0,0,10,0,180,0,0,9,0,0,0,0,0,10,115078,0,8,0,0,0,0,0,0,0,13,0,0,0,19,6,340,0,0,181,0,0,0,21,745,0,0,0,0,244,0,0,9686,0,7504,721,0,3,0,0,0,0,0,0,0,0
"ATG",1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,3,0,0,1,0,2,46,0,0,0,0,484,7,0,4,14,0,0,0,0,3,0,0,0,2,6,0,1,10,0,1,180,0,0,2,0,0,5,1,9,0,0,15,0,0,487,0,3,2246,7,0,0,0,2,17,0,3,0,424,0,1,0,3,0,0,8,1,0,0,0,0,585,321,2,2,0,0,0,0,0,0,0,0,9,0,0,69,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,35,0,0,4,8,9,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,22,0,0,0,0,0,0,0,69,0,8,0,0,0,0,2917,0,67,9,911,0,0,0,0,5,0,0
"AUS",45,3334,89,400,1084,1837,302,11,0,9731,78,194,3244,9,6,3186,1806,205,75,3334,796,11,165,2843,55,396,129,152,6,22960,10073,162,4750,49503,50,29,280,116,1492,0,5,82,90,157,3810,3713,75284,21,3428,44,189,501,5338,322,0,4945,692,1129,1961,6203,7958,2,55,168051,81,486,100,8,10,2,1,18591,11,98,4,19,49,10869,50,8415,28,4270,10301,38316,8633,4661,7443,179,2538,71840,114,3043,8444,1812,1566,75,3534,52,12264,788,1193,21731,303,436,8,9632,13,372,1233,731,269,247,470,36,375,542,5527,13,8275,2509,713,218,194,4,7,3124,125,13961,1,302,217,2,495,87,15173,3367,1926,70994,299,3872,142,999,21126,14875,7753,20,99,2909,56,443,65,572,93,4992,14635,68,2623,2820,38,7656,428,385,1095,651,7710,1369,0,144,2904,2160,4736,52,298,1251,174,31,6656,29,28,1001,784,171,108,6415,345,242,3968,1776,47317,394,6,488,2,23928,536,1744,107,30460,974,2808
"AUT",0,737,35,228,57,277,315,1,2730,0,146,8,758,7,9,217,1885,6,10,10252,381,4,65,1032,2,1,1,2,5,3369,10749,1,445,1785,19,52,60,40,169,0,3,34,83,1,98,6770,74060,2,592,302,130,177,1531,9,0,1796,106,124,322,1,2719,0,4,5352,324,219,20,1,46,6,9,788,1,38,1,1,1,30,10,5389,40,6811,115,1248,220,1532,634,37,1028,6700,15,246,386,1074,82,75,84,0,18,31,10,207,22,122,2,78,0,90,369,98,2,177,199,8,16,201,1922,9,61,6,2024,201,7,2,1,11,3,43,0,101,1,3,709,21,1805,499,33,211,8,496,25,149,1286,116,6992,3,274,288,21,22,0,14,2,6210,6936,17,100,56,25,28,2,25,7,101,20970,1,0,2,3987,2663,1318,2,3,296,2,19,522,52,20,0,0,6,358,19413,12,18,1901,33,8240,153,1,179,0,311,1,0,12,2722,13,20
