"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"ABW",0,0,1,0,1,1,0,2,19,0,0,0,6,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,383,4,1,4,98,0,0,0,0,1159,0,0,9,0,1727,0,0,6,0,2,451,0,5,0,0,0,30,0,0,0,0,11,0,0,208,0,0,0,0,0,0,0,0,19,0,6,0,23,0,0,0,145,0,0,26,1,0,0,0,1,5,66,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1807,0,0,1,0,0,2,70,98,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1625,0,10,413,53,0,0,0,0,4,0,0
"AFG",0,0,0,0,3554,1,0,0,17943,3261,121,0,2715,0,0,0,160,266,0,0,306,0,0,47,0,0,0,0,0,21152,1615,0,14,0,0,0,0,0,56,0,0,1,0,0,5,306,36768,0,6086,0,0,20,72,0,0,306,24,0,2191,0,2030,0,0,16569,21,0,0,0,0,0,0,3424,0,0,0,0,0,0,0,0,0,418,0,1272,41,248437,108,4,1342,2910,0,106,0,607,0,85,0,0,0,555,0,0,0,59,0,63,0,11,0,17,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,272,0,29,0,0,0,14,9241,5411,0,968,3,971216,0,0,639,0,86,0,0,1,0,0,0,844,0,0,17520,0,47357,0,0,4,0,0,0,0,0,0,0,0,18,6,8924,0,0,2009,0,0,0,12081,55,0,0,0,0,5278,0,0,2770,0,23055,256,0,0,0,0,0,0,0,59,0,0
"AGO",0,0,0,0,0,1,0,0,50,27,0,4,448,0,0,0,1,0,0,0,0,0,1,646,0,0,0,65,1,244,594,1,10,0,2,164,27223,2871,5,0,486,0,4,0,0,20,5,0,14,0,0,3,2,25,0,378,0,0,39,0,1833,0,80,951,0,0,15,0,0,1,6,1,0,0,0,0,0,0,0,0,0,8,0,0,45,0,0,4,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,98,0,0,0,0,3501,0,0,0,0,0,0,4261,0,0,0,0,687,35,0,0,0,0,0,1,6,0,6,0,0,14463,0,0,0,0,0,0,59,46,0,1,0,0,0,0,0,0,0,4,507,0,2,0,65,19,0,0,1,0,0,0,0,0,0,0,0,0,94,6,0,0,974,0,0,18,0,0,0,0,0,3835,3210,0
"ALB",0,0,0,0,41,11,8,1,1571,1253,3,0,4142,0,0,0,700,2,5,2,1,2,5,40,0,0,0,2,0,7387,1293,0,41,1,0,0,0,0,33,0,1,8,5,1,299,256,6756,0,172,9,0,39,43,0,0,1334,12,0,187,0,2091,0,0,3382,7,0,0,0,0,0,0,66665,0,3,0,0,1,0,2,58,2,115,3,0,97,3,0,25,102,144081,1,9,6,103,0,3,0,0,42,1,0,0,0,43,1,11,0,2,90,7,0,2,13,0,0,334,25493,916,9,0,1819,1,0,0,0,0,0,0,0,4,0,0,0,0,479,254,0,11,0,0,9,0,34,2,165,0,1,28,3,1,0,12,0,526,82,0,0,0,0,13,0,0,1,0,85,0,0,0,46,96,881,0,0,0,0,0,0,1,0,0,0,6,2,1658,0,0,4,4,31910,0,0,6,0,3,0,0,0,228,0,0
"ARE",0,372,0,0,0,1,1,0,5071,141,0,0,32,0,0,42891,58,4433,1,0,22,0,0,58,0,6,5,1,5,12377,304,2,10,29,0,2,1,1,33,0,0,0,0,0,164,42,212,5,282,0,25,1,50871,630,0,293,11,819,87,1,1449,0,1,8617,0,1,0,1,0,0,0,89,0,0,0,8,0,55,0,1,0,155,14191,179552,145,43,237,2,55,525,0,10948,90,2,37,0,0,0,27,18156,0,2300,1,1440,0,6971,0,29,1,11,5,490,0,0,16,4,2,2663,20,4,0,0,1,32,1,5,0,262,0,1,1,0,663,0,644,246,977,35,2975,50792,2,0,26632,2,139,1,1,5,0,10145,0,3264,1,21,444,0,2479,6585,1,107,0,1,0,612,14,11967,0,0,47,17,688,0,1,3127,245,0,439,0,0,0,0,0,330,2500,1,32,16,0,9587,0,0,7,0,4,0,0,11079,181,1,0
"ARG",3,1,61,13,228,0,210,4,4878,1526,8,0,3785,1,2,1,363,16,92,9,403,10,58136,18339,1,0,0,22,0,8359,11794,67,37768,1181,1,0,0,19,2292,0,30,687,199,93,177,2762,15538,0,916,291,21,3000,167,0,0,119657,126,9,709,0,4464,0,4,10993,10,4,45,1,0,0,406,262,1,299,4,0,5,8,101,355,177,605,15,17,1264,28,10,122,21587,59049,4,234,1286,638,1,9,3,0,924,11,36,132,0,23,2,115,0,175,627,105,0,125,214,1,0,9122,255,111,40,1,210,4,14,8,1,5,0,4,0,122,1,0,7,52,1932,1236,0,833,2,4,1116,10173,410,16,2993,283,8,3437,73223,11,0,55,1,2138,4873,0,53,1,0,30,0,1,71,3,33,3,0,4,184,574,1903,0,4,194,0,0,14,3,2,0,0,18,32,409,0,0,3048,17684,65599,132,0,1661,0,5,1,0,1,2818,3,0
"ARM",0,0,0,0,1,40,0,0,94,204,119539,0,82,0,0,0,340,0,0,0,2126,0,0,5,0,0,0,0,0,410,49,0,6,0,0,0,0,1,0,0,0,0,0,0,110,509,936,0,62,0,0,2,11,0,0,811,251,0,34,0,1333,0,0,95,3729,0,0,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,17,0,0,5,6387,26,1,70,112,0,7,0,9063,0,300,0,0,0,0,0,72,0,16,0,0,0,64,0,96,0,0,6,0,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,42,79,0,0,0,0,0,0,9,0,195,0,0,22,0,0,0,0,0,1,142415,0,7,0,0,0,0,0,0,0,11,0,0,0,10,2,864,0,0,203,0,0,0,22,968,0,0,0,0,279,0,0,13559,0,5365,3257,0,3,0,0,0,0,0,1,0,0
"ATG",1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,4,0,0,1,0,2,46,0,0,0,0,340,18,0,4,13,0,0,0,0,6,0,0,0,2,28,0,1,10,0,0,180,0,0,2,0,0,5,1,10,0,0,14,0,0,579,0,3,0,7,0,0,0,3,16,0,3,0,422,0,1,0,3,0,0,7,1,0,0,0,0,12,326,0,2,0,0,0,0,0,0,0,0,5,0,0,71,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,114,0,0,4,8,8,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,22,0,0,0,0,0,0,0,73,0,0,0,0,0,0,3618,0,65,9,391,0,0,0,0,6,0,0
"AUS",14,1696,260,240,1076,1785,209,13,0,4879,56,33,3014,3,3,1591,696,158,78,3560,845,16,212,1600,47,327,12,369,4,10573,5842,349,3967,27298,22,15,46,96,865,0,5,79,67,118,5293,8102,35058,18,2741,26,153,359,4823,156,0,15865,449,844,2545,6088,8043,2,10,192078,51,365,21,7,8,2,0,15489,10,73,3,13,51,8772,35,8249,12,3998,7819,16703,14191,2862,4324,364,4905,36369,106,1428,5885,1386,1133,71,2421,62,7490,397,941,9114,156,338,13,6982,12,677,469,1032,214,182,130,27,46,412,5432,27,5628,892,741,171,197,3,5,2274,104,12126,0,506,183,1,273,82,13999,3415,334,61384,137,1991,185,527,16163,7445,11554,21,121,3636,59,260,51,294,27,2171,13963,19,852,1213,30,9052,99,211,1066,544,5558,3,0,16,1194,1946,3584,55,265,1083,17,4,2720,28,16,597,676,165,66,6563,229,165,6573,1236,32029,389,6,283,1,18326,180,1351,71,21229,673,2235
"AUT",0,578,120,193,51,275,381,1,3236,0,183,6,1130,6,9,175,1490,5,13,10771,400,3,76,878,2,1,1,3,5,3117,17438,1,383,1500,18,49,65,43,197,0,4,39,71,1,192,14578,71063,2,573,279,103,175,1412,5,0,3745,122,130,453,1,2767,0,3,6490,289,228,20,1,45,5,9,666,1,34,0,1,1,26,10,7294,30,5949,87,1113,483,1213,478,112,1800,6599,14,178,339,712,78,82,62,0,24,28,8,152,23,117,3,70,0,112,348,150,2,159,184,7,3,200,1797,56,22,4,2258,193,8,3,1,10,4,43,0,267,1,3,655,20,1923,750,37,243,5,434,28,104,1147,43,7714,3,250,323,22,19,0,12,1,5746,13430,15,75,31,24,30,1,28,6,108,17662,1,0,1,3482,3736,1428,2,3,280,1,17,308,58,19,0,0,5,319,18657,12,17,1913,25,9006,172,1,178,0,259,1,0,10,2615,10,23
