"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"AZE",0,21,0,0,0,6,58742,0,35,99,0,0,68,0,0,0,192,0,0,0,1694,0,1,5,0,0,0,0,0,206,43,0,5,0,0,0,0,0,0,0,1,0,0,0,38,265,1646,0,22,0,0,2,4,0,0,1103,250,0,11,0,999,0,0,191,6287,0,0,0,0,0,0,226,0,0,0,0,0,0,0,2,0,19,0,0,8,328,0,1,1469,233,0,0,0,5837,0,1162,0,0,11,0,0,0,0,1,0,0,0,140,0,315,0,0,197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,45,0,0,0,1,0,0,1,0,164,0,0,17,0,0,0,0,0,3,113054,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,131,0,0,0,0,0,0,63,1035,0,0,0,0,1816,0,0,10453,0,1853,5021,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,63,0,3,0,0,0,235,43,0,0,3512,0,0,0,8,0,0,0,0,0,1,9,0,0,0,1,4,2237,242,0,5,0,0,1,24159,331,0,0,0,0,0,0,2,4,333,0,182,2,0,3,13,463,0,81,0,19,29,0,1179,0,57,1473,0,34,0,0,0,0,4,56,0,0,0,0,0,0,0,1,0,6,0,0,30,0,0,0,22,561,0,0,2,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,5,0,0,0,7,0,0,0,0,430,0,0,0,1072,0,3,176,3,0,0,0,981,256,0,1,0,0,1,0,0,0,25,0,0,0,0,0,0,0,4,5,79,23886,0,2,11,0,0,0,0,0,3,0,0,0,2,0,696,90,0,0,0,84,0,0,0,0,0,0,0,0,57515,6225,0,0,28,0,0,0,0,0,0,0,0,1982,1843,0
"BEL",3,6,79,185,18,307,2,0,1097,4904,101,163,0,126,43,94,450,5,5,27,30,61,146,677,2,1,11,3,31,3951,3367,5,756,680,106,277,5079,422,378,0,42,36,65,0,70,220,13533,10,558,226,3058,346,214,0,1,19136,7,296,628,1,46737,0,123,7032,27,317,107,46,22,11,1709,2417,0,507,24,0,6,13,25,89,177,600,180,714,483,281,505,25,3269,24695,22,21,477,2926,57,81,104,0,20,16,85,318,47,88,1,21,0,57,2756,42,1,24354,13,173,0,299,25,74,55,3,1,12,18,87,25,384,3,99,2,31,11,76,284,15,16752,495,5,55,2,454,55,165,820,4,2191,5,189,2452,21,8,7,3,24,754,1006,196,29,19,157,110,0,472,47,127,63,0,3,23,138,56,1284,0,9,113,20,148,295,29,0,0,0,0,1118,15965,44,34,154,37,9401,6,0,164,0,418,0,0,11,1095,30,11
"BEN",0,0,0,0,0,0,0,0,4,13,0,0,83,0,914,0,12,0,0,0,0,0,1,11,0,0,0,0,0,574,82,0,0,0,6933,1788,0,1155,0,0,0,0,0,0,2,19,501,0,11,0,0,0,4,0,0,209,0,0,2,0,7118,0,9407,148,0,4759,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,0,0,0,0,0,59,0,0,0,0,0,21,0,8947,79717,0,143,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,30,0,0,1,330,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,26,18290,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,33,0,0
"BFA",0,0,0,0,0,4,0,0,44,76,0,0,703,7476,0,0,8,0,0,0,0,0,0,17,0,0,0,0,6,834,301,0,4,0,303661,759,0,8,0,0,0,0,0,0,2,14,940,0,51,0,0,1,26,0,15,1477,0,0,24,0,7426,0,3609,894,0,47463,1636,0,66,0,0,54,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,6212,0,0,0,0,0,0,0,0,0,0,0,0,220,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14961,0,0,0,0,0,6,0,0,0,0,0,32,0,12940,7093,0,304,21,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,397,0,0,6,446,0,0,45,0,0,0,0,0,0,0,0,63,0,0,0,0,9853,0,0,0,0,0,0,4,1,0,0,0,0,1133,0,0,0,0,0,0,0,0,70,0,0
"BGD",3,0,0,0,250688,55,0,4,13927,1537,0,0,1703,0,0,0,480,34324,37,0,4,12,155,2065,0,384,12,15,2,26694,1391,4,63,19201,0,11,0,0,63,0,3,0,0,0,453,154,5209,0,662,89,8,139,135,0,0,8106,6,0,932,325,4090,0,2,104698,0,8,1,0,0,0,0,6035,0,3,79,0,6,877,11,11,2,155,11278,1022266,2767,0,0,14,423,57038,1,11151,8014,4,0,1,2098,0,3034,71754,7369,2853,0,445,5,199,0,76,21,25,146,3,0,4,16883,1718,0,9,20,20597,0,16,0,0,0,4107,0,198759,0,23,5,0,0,0,944,1909,1462,1258,25689,9,73,0,129,0,383,6,128,1611,174,53,1,39243,0,32,695,0,213214,1,0,27405,0,2,3,0,6,0,0,20,39,3,3563,0,119,0,0,1,5426,2,0,12,0,8,0,311,0,25,27,0,90075,0,1,53,0,6119,0,0,0,1607,3,1
"BGR",0,20,0,42,4,56,112,0,369,1334,106,1,2395,2,0,21,0,0,6,4,54,0,5,35,0,0,1,1,0,1964,481,0,25,49,0,0,1,1,9,0,0,5,23,0,927,2038,20894,0,651,27,24,36,13,0,0,55102,5,4,231,0,2928,0,1,11558,40,1,1,0,0,0,0,11362,0,0,0,0,0,0,0,33,0,413,1,13,278,20,38,20,2104,13921,0,16,6,70,1,7,1,0,5,3,0,41,0,9,0,0,0,32,159,194,0,4,152,0,0,28,212,0,69,0,1,7,1,0,0,0,0,0,0,4,0,0,4,6,879,172,0,2,0,4,7,6,2,0,444,0,0,1382,0,1,0,0,0,4674,2507,0,4,2,0,0,0,0,0,0,218,0,0,0,348,17,429,0,0,47,0,0,1,8,13,0,0,0,4,50674,1,0,757,1,5272,48,0,16,0,37,0,0,3,386,1,1
"BHR",0,35,0,0,582,4,0,0,483,39,1,0,43,0,0,6196,6,0,0,0,0,0,0,13,0,0,0,0,1,772,105,0,1,2,0,0,1,0,0,0,0,0,0,0,41,11,20,1,27,5,3,0,3442,77,0,20,0,87,11,0,149,0,0,1895,0,0,0,0,0,0,0,12,0,0,0,1,0,3,0,0,0,8,965,11470,34,5,8,0,20,52,0,710,6,19,14,1,0,0,1,393,0,233,0,194,0,549,0,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,26,0,81,16,32,4,56,4173,0,0,2308,0,2,0,0,1,0,1760,0,138,0,2,5,0,157,692,0,5,0,0,0,58,0,991,0,0,0,0,28,0,0,209,28,0,35,0,0,0,0,0,27,232,0,8,2,0,225,0,0,1,0,0,0,0,869,54,0,0
"BHS",1,0,0,0,1,1,0,2,42,5,0,0,9,0,0,0,0,0,0,0,0,1,0,8,16,0,0,0,0,387,31,0,1,10,0,0,0,0,5,0,0,22,12,0,0,0,33,0,6,95,0,6,2,0,0,19,0,0,1,0,47,0,0,405,0,8,0,3,0,0,0,9,5,1,5,0,51,3,2,0,2318,1,1,24,11,0,0,0,1,23,407,0,5,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,12,7,11,3,0,3,0,1,2,3,15,0,2,1,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,3969,0,2,5,0,0,0,0,0,12,0,0
"BIH",0,0,0,0,2,2,0,0,5365,13560,0,0,77,0,0,0,62,0,0,0,2,0,3,47,0,0,0,0,1,3702,6313,0,40,0,0,0,0,0,3,0,0,0,0,0,35,344,21016,0,1771,1,0,7,7,0,0,751,1,0,53,0,1778,0,1,2781,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,40284,0,832,0,0,263,0,0,28,8,2395,0,9,1,18,0,0,0,0,0,0,0,0,0,22,0,0,0,2,287,4,0,0,0,3,0,2,1126,3,24,0,476,0,0,0,0,0,0,0,1,0,1,0,0,0,422,1366,0,3,0,0,4,0,0,0,464,0,0,14,0,0,0,0,2,158,297,0,0,0,0,0,0,0,0,0,31770,0,0,0,1039,8564,5311,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,1,0,10598,3,0,28,0,0,0,0,0,80,0,0
"BLR",0,28,0,0,2,61,669,0,172,149,1543,0,55,0,0,0,126,0,0,0,0,0,1,15,0,0,0,0,0,1197,100,0,2,1,0,0,0,0,0,0,0,1,5,0,42,1049,3036,0,129,0,7,1,25,0,0,1238,1977,3,286,0,661,0,0,669,908,0,0,0,0,0,0,279,0,0,0,0,0,0,0,20,0,83,0,6,100,9,0,9,3002,7164,0,3,4,19227,0,2428,0,0,5,0,0,7,0,56,0,0,0,7304,4,8475,0,0,1653,0,0,1,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,64,135,0,3,0,6,0,0,0,0,10386,0,6,248,0,1,0,0,0,28,194465,0,1,0,0,0,0,0,0,0,17,0,0,0,31,18,332,0,0,5,0,0,0,846,850,0,0,0,0,52,0,0,59153,2,4657,6646,0,1,0,32,0,0,3,17,0,0
"BLZ",0,0,0,0,0,1,0,2,16,11,0,0,0,0,0,0,1,0,16,0,0,0,274,2,14,0,0,0,0,496,13,0,1,126,0,0,0,0,0,0,0,10,0,0,0,0,7,0,4,0,0,0,0,0,0,6,0,0,0,0,9,0,0,171,0,0,0,0,0,0,0,2,0,1760,0,0,0,5,763,0,4,0,0,29,1,0,0,1,0,8,37,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7770,0,0,5,0,0,0,0,0,0,0,0
"BOL",6,0,0,0,1,57231,0,0,104,63,0,0,277,0,0,1,9,0,0,0,1,79,0,11636,0,0,0,0,0,1036,347,0,5451,53,0,0,0,1,238,0,0,40,54,21,2,35,1562,0,116,34,1,460,3,0,0,79200,0,0,40,0,843,0,0,883,0,0,0,0,0,0,0,4,0,23,0,0,0,1,34,18,1,17,1,11,8,4,1,2,30,5489,0,1,151,2,1,0,0,0,56,0,1,13,0,1,0,0,0,1,1,0,0,1,0,1,0,1039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,192,45,0,4,0,3,51,1001,46,0,39,14,0,70,540,0,0,0,0,0,34,0,1,0,0,1,0,0,14,0,0,0,0,0,1,1,317,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,13,46,7698,1,0,286,0,0,0,0,0,19,0,1
"BRA",1,0,748,2,17,8889,1,1,1506,1037,1,0,1770,0,0,1195,86,5,19,0,60,0,6845,0,1,0,0,2,0,3996,6571,60,3014,7553,0,0,12,2,813,0,51,68,139,0,29,305,14466,0,503,118,1,612,360,0,0,31905,2,0,219,0,14515,0,2,9312,0,4,25,7,0,2,16,640,0,35,2827,0,303,3,38,31,2,480,1,76,2023,0,4,35,1748,23848,5,23,31216,625,0,1,0,0,1,3,0,5255,1,28,2,0,0,18,293,12,4,1,2,0,0,552,0,1,7,0,0,0,126,17,10,0,0,1,0,75,1,0,0,52,2098,429,0,447,0,19,252,1103,357,0,1097,21,352,43291,16966,5,0,2,1,576,3176,0,39,0,60,0,0,0,66,0,13,0,0,748,55,9,838,0,0,232,0,0,1,2,1,14,0,1,0,150,0,0,27,4088,39094,8,0,1222,0,0,0,0,0,447,4,1
"BRB",3,0,0,0,0,1,0,81,70,8,0,0,18,0,0,0,3,0,76,0,0,0,1,14,0,0,0,0,0,2690,28,0,9,0,0,1,0,0,2,0,0,1,0,0,8,3,22,0,11,2,0,4,0,0,0,104,0,0,5,0,845,0,0,2278,0,1,0,1,0,0,0,8,78,0,8,0,263,0,0,1,0,5,4,58,60,0,0,1,15,44,123,0,0,0,0,0,0,0,6,0,0,0,0,0,486,0,0,2,1,1,0,0,0,0,0,31,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,26,6,0,19,0,0,5,0,0,0,17,0,0,5,1,0,0,0,0,1,2,0,0,0,0,2,0,0,3,0,0,0,0,4,2,0,27,0,0,0,0,0,0,0,0,0,0,655,0,4,0,0,0,0,7347,0,386,16,44,0,0,0,0,50,0,0
"BRN",1,6,0,0,35,1,0,0,1647,9,0,0,31,0,0,178,3,6,0,0,0,0,1,88,0,0,0,0,0,1493,43,0,2,288,0,0,0,0,1,0,0,0,0,0,10,5,60,0,9,0,4,2,31,0,0,119,0,0,4,0,149,0,0,2591,0,1,0,0,0,0,0,12,0,0,0,1,0,94,0,1,0,4,630,4042,81,3,0,0,9,62,0,17,59,1,0,0,2,0,38,3,0,0,0,10,0,130,0,2,1,1,4,0,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0,7425,0,0,0,0,0,0,322,15,505,104,2,120,1,0,1635,0,15,0,2,5,0,0,0,21,0,1,14,0,20,0,0,764,0,0,0,0,0,0,0,1,1,0,16,0,0,0,0,0,1361,16,0,0,0,0,0,6,0,0,0,0,348,0,0,1,0,0,0,0,0,55,0,0
"BTN",0,0,0,0,6,0,0,0,25,4,0,0,36,0,0,4,3,1,0,0,0,0,0,1,0,0,0,0,0,156,12,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,1,0,1,0,0,0,5,0,0,1,0,14,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,4886,3,0,0,0,2,14,0,0,16,0,0,0,0,0,6,2,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,4,10976,3,1,11,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0
"BWA",0,0,295,0,1,0,0,0,2413,37,0,0,98,0,0,0,20,0,7,0,0,0,1,0,0,0,0,0,1,313,88,0,12,162,0,0,167,1,1,0,0,0,0,0,105,58,566,0,64,0,0,3,0,0,0,65,0,0,26,0,308,0,0,2189,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,8,0,12,0,352,226,0,0,0,231,216,0,0,0,0,33,0,0,0,25,0,0,0,0,0,0,62,88,0,0,1,0,0,0,48,0,1,0,0,1,0,0,0,58,0,0,89,168,0,0,341,0,0,30,0,235,64,0,920,0,29,0,0,0,0,15,0,0,53,0,0,0,0,0,0,46,1,1,0,0,0,0,0,0,0,3,0,0,0,3,0,96,31,10,0,0,0,0,0,0,0,0,0,0,2,121,60,0,0,198,0,0,1,0,0,0,0,0,14837,783,1266
"CAF",0,0,2,0,6,0,0,0,5,6,0,3,77,0,0,0,0,1,0,0,0,0,22,4,0,0,0,0,0,65,41,0,0,0,2,9344,2361,1706,0,0,0,0,0,0,3,0,5,0,3,40,0,0,13,0,0,20,0,2,0,0,5480,0,1,29,0,0,0,1,0,0,0,100,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,62,0,0,0,6,8,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,12,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,1,2,0,57,9,20,4579,6,0,0,0,0,0,0,0,9,0,0,6,32,0,0,0,34582,29,0,0,0,0,0,0,0,1,6,33,1,0,84,0,0,0,0,0,0,0,2,16,4,0
