"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"ABW",0,0,0,0,0,1,0,1,8,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,77,2,0,1,65,0,0,0,0,922,0,0,2,0,143,0,0,5,0,1,400,0,3,0,0,0,14,0,0,0,0,18,0,0,78,0,0,0,0,0,0,0,5,18,0,5,0,21,0,0,0,107,0,0,16,1,0,0,0,0,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,673,0,0,1,0,0,1,63,78,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,657,0,10,418,49,0,0,0,0,0,0,0
"AFG",0,0,0,0,305,2,0,0,1751,670,26,0,264,0,0,0,30,35,0,0,72,0,0,3,0,0,0,0,0,3018,329,0,2,0,0,0,0,0,10,0,0,0,0,0,1,35,8262,0,643,0,0,3,17,0,0,24,4,0,149,0,365,0,0,3461,4,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,70,0,887,17,235690,30,0,288,331,0,6,0,287,0,2,0,0,5,114,0,0,0,23,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,4,3161,495,0,193,1,115842,0,0,55,0,17,0,0,1,0,0,0,52,0,0,7533,0,17839,0,0,1,0,0,0,0,0,0,0,0,53,0,824,0,0,48,0,0,1,5539,93,0,0,0,0,946,0,0,405,0,4926,1032,0,0,0,0,0,0,0,5,0,0
"AGO",0,0,0,0,0,2,0,0,52,31,0,3,403,0,0,0,1,0,0,0,0,0,1,814,0,0,0,198,1,295,614,1,9,0,1,274,31747,1958,6,0,582,0,8,0,0,17,9,0,15,0,0,3,3,56,0,434,0,0,26,0,1897,0,91,1065,0,0,21,0,0,1,5,2,0,0,0,0,0,0,0,0,0,8,0,0,63,0,0,3,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,30,0,0,0,0,3197,0,0,0,0,0,0,4910,0,0,0,0,1075,28,0,0,0,0,0,1,208,0,6,0,0,20439,0,0,0,0,0,0,63,22,0,1,0,0,0,0,0,0,0,0,451,0,2,0,64,20,0,0,2,0,0,0,0,0,0,0,0,0,107,4,0,0,852,0,0,25,0,0,0,0,0,2945,10029,0
"ALB",0,0,0,0,0,17,1,0,866,883,3,0,2047,0,0,0,663,0,3,0,3,1,5,27,0,0,0,1,0,4315,770,0,34,0,0,15,0,0,17,0,1,0,8,0,498,165,4990,0,116,4,1,38,20,0,0,811,0,0,106,0,3225,0,0,5105,4,1,0,0,0,0,0,96402,0,0,0,0,0,0,1,25,1,115,3,0,68,2,15,12,113,110592,0,0,4,83,0,3,0,0,12,0,0,0,0,24,0,4,0,4,52,5,0,1,3,0,0,68,6804,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,155,0,4,0,0,4,0,43,0,181,0,0,21,4,0,0,0,0,550,168,0,0,0,0,4,0,0,0,0,51,0,0,0,43,6,433,0,0,0,0,0,0,1,0,0,0,0,1,1586,0,0,3,0,17770,0,0,55,0,1,0,0,0,168,0,0
"ARE",2,416,0,0,0,1,1,0,502,762,17,0,104,0,0,30574,52,499,1,0,4,0,2,15,0,4,3,1,8,1517,289,2,8,18,0,3,8,0,6,0,0,0,0,0,59,28,260,5,67,0,44,3,32316,750,0,621,1,958,92,1,740,0,1,3413,1,2,0,0,0,0,0,63,0,0,0,6,0,33,0,3,0,46,9354,112103,297,86,156,1,367,500,0,4986,54,462,203,12,0,0,15,3462,0,1623,1,387,1,4682,0,11,5,5,1,413,1,0,9,3,2,0,6,3,0,1,1,7,0,2,0,143,0,1,0,0,253,0,612,142,311,99,805,40340,4,0,14717,0,93,1,1,25,0,2252,0,1715,0,38,158,0,1515,6694,0,49,0,0,0,567,3,9777,0,2,13,2,223,0,1,2027,270,0,345,6,0,0,0,1,260,2270,1,82,23,0,3320,0,0,8,0,2,0,0,8405,288,1,0
"ARG",8,5,17,19,9,0,128,2,1986,1161,11,0,2519,1,2,2,270,4,60,2,241,4,44602,13319,1,0,0,9,2,4349,5186,42,32974,814,0,30,0,11,1354,0,18,212,269,0,113,1407,14915,0,452,447,46,2583,101,0,0,235609,23,14,266,0,5718,1,3,5821,5,5,48,1,0,0,104,687,2,70,3,0,2,3,49,320,68,565,16,22,749,89,18,56,14331,53224,2,20,921,958,1,5,5,0,902,1,54,823,0,15,2,36,0,162,278,73,0,62,220,3,0,3459,285,9,20,1,0,2,3,8,1,2,0,2,0,11,3,0,8,41,1295,247,0,517,0,1,699,6929,74,0,2641,211,5,1942,61796,3,1,3,1,1131,3839,0,25,2,0,10,0,0,37,0,81,0,0,2,174,395,923,0,3,176,1,0,22,2,1,0,0,10,20,404,0,0,1133,21551,33448,102,0,3257,0,3,2,0,0,969,1,0
"ARM",0,0,0,1,2,71,0,0,106,250,106588,0,230,0,0,0,620,0,0,0,1627,0,2,16,0,0,0,0,0,702,65,0,120,0,0,0,0,0,0,0,2,0,0,0,216,867,1365,0,89,0,0,6,11,0,0,2704,225,0,56,0,3822,0,0,864,5268,0,0,0,0,0,0,1239,0,0,0,0,0,0,0,7,0,49,0,0,10,2160,4,1,186,923,0,5,0,9074,0,417,0,0,4,0,0,440,0,16,0,0,0,81,0,128,0,0,17,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,468,162,0,4,0,0,1,0,8,0,372,0,0,72,0,0,0,0,0,13,138588,0,9,0,0,0,0,0,0,0,13,0,0,0,95,2,492,0,0,234,0,0,0,31,778,0,0,0,0,409,0,0,7945,0,5519,2155,0,3,0,0,0,0,0,4,0,0
"ATG",1,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,1,0,4,0,0,1,0,1,47,0,0,0,0,368,17,0,5,13,0,0,0,0,7,0,0,0,2,1,0,0,10,0,1,183,0,0,2,0,0,6,0,12,0,0,78,0,0,425,0,3,0,6,0,0,0,7,17,0,3,0,403,0,1,0,3,0,0,7,1,0,0,0,1,14,310,0,2,0,0,0,0,0,0,0,0,16,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,46,0,0,3,11,12,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,16,0,0,0,0,0,0,0,70,0,0,0,0,0,0,4351,0,64,10,419,0,0,0,0,5,0,0
"AUS",47,1432,88,223,443,1957,122,8,0,7629,45,3,5427,8,2,1004,917,129,73,2728,567,8,275,1287,46,282,9,174,12,12646,9183,174,4020,17732,8,68,41,19,669,1,12,110,60,8,6487,4005,47106,15,2466,30,221,541,4466,200,1,16133,371,523,2048,4413,9528,1,29,168913,41,303,9,5,4,2,29,25904,10,46,10,10,41,8459,28,7659,16,5171,7183,10422,10008,3303,3514,282,3447,43987,100,529,4367,2343,887,30,3181,36,5085,283,1035,32806,25,316,8,5644,5,599,509,1134,200,183,134,60,28,233,4952,40,6644,869,472,79,126,3,10,2112,60,10112,13,179,252,3,192,76,14953,1179,180,51435,61,1445,113,494,12294,222,11701,21,102,3021,93,207,75,61,39,3224,12905,6,577,484,29,4759,86,45,1052,466,6691,0,0,41,1591,1559,2364,28,287,649,12,7,2378,20,9,43,615,151,73,7052,188,153,2756,1245,27135,368,6,836,1,18343,177,1068,49,13873,439,878
"AUT",0,617,28,196,33,355,231,1,3030,0,141,5,1199,7,8,167,1437,3,9,9925,238,3,78,839,1,1,1,2,8,2819,10487,1,304,1292,17,46,56,38,171,0,4,25,65,0,110,6260,65895,2,461,305,135,193,1141,7,0,2949,38,115,260,1,3553,0,3,5048,248,207,27,1,48,5,7,725,1,25,0,1,1,22,8,7378,22,4516,72,969,471,1438,460,65,1339,6423,12,76,287,957,77,66,76,0,12,20,8,294,26,106,2,59,0,100,230,123,1,148,227,9,2,174,1429,10,34,3,1215,162,5,2,1,8,2,36,0,99,1,3,548,16,1660,284,33,189,4,407,18,96,1074,2,6961,3,229,283,21,15,0,5,1,4704,7283,12,61,47,24,20,0,94,6,95,14965,0,0,1,3321,2765,1215,1,3,173,3,17,310,48,15,0,0,5,294,15636,10,18,857,22,8658,124,1,221,0,236,0,0,8,1026,9,13
