"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"SEN",0,0,0,0,68,5,0,1,350,296,0,5,2850,1567,2063,23,8,6,3,0,1,0,9,262,0,0,1,1,577,2379,2152,1,36,67,10230,200,0,4271,3,6,387,2,0,0,12,48,4126,0,149,19,801,17,258,6,840,5398,2,0,57,0,63055,0,7434,1823,0,596,2490,2,10095,9128,49,165,0,0,112,0,1,16,3,2,0,68,1,1,93,0,5,9,1524,35098,2,141,388,0,0,0,17,0,30,3,0,1773,58,1217,1,8,0,3,174,5,0,1451,0,10,0,196,0,8130,3,0,0,0,1,16147,2,0,0,0,78,59,177,1575,1716,34,944,84,0,29,30,0,2,0,19,0,137,55,3,1685,8,369,1,69,244,7,99,0,307,96,0,2,0,850,0,0,10,0,0,1,39,0,317,0,0,0,227,588,0,0,0,1,0,1,623,258,2,78,4,1,6918,0,0,12,0,2,0,0,0,2007,108,0
"SGP",0,0,0,0,11,1,0,0,6060,41,0,0,413,0,0,2198,0,1,0,0,0,0,1,0,0,270,5,0,0,2163,295,0,15,17852,0,0,0,0,0,0,0,2,0,0,4,2,272,0,90,0,2,0,22,0,0,18,0,0,16,0,168,0,0,5158,0,0,0,0,0,0,0,14,0,0,0,0,0,3118,0,0,0,8,3405,2812,57,0,0,3,0,66,0,2,295,0,0,0,131,0,1,4,0,0,0,173,0,672,0,0,0,0,863,0,0,0,4,20,0,0,2,1,0,0,0,0,0,0,0,38784,0,0,0,0,0,0,451,80,2,889,3,1746,4,0,164,7,0,0,1,52,0,0,0,3,0,0,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,150,0,0,73,0,0,0,57,0,0,0,0,3626,0,0,2,0,182,0,0,0,174,0,0
"SLB",0,0,0,0,18,1,0,0,2420,28,0,0,27,0,0,5,1,1,0,0,0,0,2,24,0,4,0,1,0,234,51,0,3,70,0,0,0,0,1,0,0,0,0,0,6,1,52,0,14,1,0,2,0,0,0,14,0,0,3,896,34,0,0,781,0,0,0,0,0,0,0,42,0,0,0,1,0,67,1,0,0,4,26,25,26,0,0,1,20,20,1,9,72,0,0,0,3,80,41,0,0,3,0,2,0,1,0,0,1,0,6,0,0,0,0,40,0,0,7,0,0,0,0,0,0,1,0,175,0,2,79,0,0,0,20,5,2,588,3,0,1,0,46,500,1,15,2,7,1,2,0,3,0,1,2,0,18,1,0,255,0,0,0,0,5,0,0,0,2,0,17,0,0,0,0,0,0,0,0,14,1,0,0,4,0,0,1,0,321,0,0,1,0,2,96,31,0,58,0,0
"SLE",1,0,2,0,195,5,0,3,951,505,0,0,2962,494,413,41,4,14,2,0,2,0,3,28,2,2,10,18,8,1863,877,2,11,120,8919,262,0,133,5,0,59,1,0,0,30,8,8670,0,435,7,0,12,102,0,8,1587,1,0,96,0,2497,0,175,23222,0,7048,251826,0,8236,1030,2,726,0,0,0,0,1,136,4,1,0,59,1,227,299,0,1,18,115,1479,4,15,91,14,0,0,3,0,47,1,0,7361,100960,331,1,3,1,1,5,6,12,7,0,0,2,257,0,2263,7,0,0,0,10,280,0,3,23,37,0,496,0,401,6443,0,2621,413,132,132,62,217,3,0,32,0,7,99,6,103,3,12,0,3,0,1,114,0,101,537,12533,52,0,0,0,0,6,0,0,1,10,0,875,3,0,0,128,285,0,0,0,1,0,2,7,67,6,11,3,0,37908,0,0,6,0,5,0,0,0,2137,3,0
"SLV",10,0,0,0,22,178,0,7,4828,87,0,1,259,0,0,58,5,2,10,0,1,1809,78,489,10,1,1,1,15,15787,436,0,203,112,0,0,0,0,196,0,1,4769,13,0,12,12,1059,0,77,225,0,210,60,0,0,1353,1,0,28,0,658,1,0,714,0,0,0,0,0,0,2,75,1,15920,1,0,3,100,13543,1,2,46,4,23,33,17,19,5,514,1916,78,88,255,0,0,0,4,0,115,0,0,25,0,251,3,2,0,3,16,3,3,0,0,0,0,2466,0,0,6,0,0,0,0,0,0,0,0,4,1,7,2,0,0,804,253,98,3,94,1,3,793,48,75,0,19,636,4,131,45,106,0,2,3,4,20,0,4,0,0,26,0,0,0,0,17,0,0,1,13,1,1195,0,0,1,0,0,0,0,0,2,0,4,3,80,8,5,7,27,293421,0,1,477,0,4,0,1,2,106,1,0
"SOM",0,0,0,0,336,0,0,12,1243,76,0,0,167,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1927,292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,713,8446,4013,0,3683,0,3315,385,0,5,0,602428,1391,0,150,0,0,12232,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,105,0,0,109,0,94,1,52,862,0,43,0,0,129462,0,0,0,0,142,0,0,0,28513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,61,0,14,0,0,0,1,6880,1349,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,12,0,62,988,0,0,0,0,0,0,0,0,0,0,0,0,1237,113,1,108,0,0,1,0,0,0,0,0,0,1,3302,786,0,0,10892,0,0,0,0,0,0,0,76012,831,0,0
"SRB",0,0,0,5,0,6,1,0,20424,53236,0,0,154,0,0,0,231,0,0,9338,19,0,0,1,0,0,0,0,0,53,16431,0,0,28,0,0,0,0,0,0,0,0,0,0,526,1168,262661,0,2108,66,1,0,1,0,0,4,0,0,1,0,625,0,0,2546,0,0,0,0,0,0,0,2756,0,0,0,0,0,0,0,4238,0,9463,0,5,1,1,3,251,3,34707,0,49,1,2,0,0,0,0,0,1,0,1,0,7,0,0,0,0,320,1,0,0,3,0,0,10,3025,0,51,0,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,23462,11,0,1,0,0,7,1,1,0,1207,0,0,76,0,1,0,0,0,740,50,0,0,0,0,0,0,0,0,0,0,0,0,0,556,5195,81,0,0,2,0,0,0,0,0,0,0,0,1,48,0,0,21,0,3489,2,0,185,0,0,0,0,0,1205,1,0
"SSD",0,0,0,0,9083,0,0,0,0,0,0,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728,0,0,0,597571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,578,0,0,99021,0,0,0,0,0,0,282,0,5525,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STP",0,0,1699,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83,6,15,0,1,0,0,0,2,0,0,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,36,0,241,37,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,1,1,0
"SUR",393,0,0,0,0,1,0,13,11,3,0,0,24,0,0,0,0,0,0,0,0,0,0,348,2,0,0,0,0,180,9,0,0,233,0,0,0,0,0,0,0,1,0,0,1,1,1,0,4,10,0,0,0,0,0,6,0,0,2,0,23,0,0,93,0,0,0,6,0,0,0,0,0,0,1250,0,894,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21102,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,911,0,0,10,0,0,0,0,0,0,0,0
