,msa,msaname
1211,4243,"LEWISTON-AUBURN, ME"
1212,20,MAINE
1213,6403,"PORTLAND, ME"
1220,0733,"BANGOR, ME"
1228,1900,"CUMBERLAND, MD-WV"
1229,0720,"BALTIMORE, MD"
1232,21,MARYLAND
1248,3180,"HAGERSTOWN, MD"
1253,0743,"BARNSTABLE-YARMOUTH, MA"
1254,6323,"PITTSFIELD, MA"
1255,1123,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA"
1256,22,MASSACHUSETTS
1259,8003,"SPRINGFIELD, MA"
1268,23,MICHIGAN
1270,3000,"GRAND RAPIDS-MUSKEGON-HOLLAND, MI"
1276,6960,"SAGINAW-BAY CITY-MIDLAND, MI"
1278,0870,"BENTON HARBOR, MI"
1280,3720,"KALAMAZOO-BATTLE CREEK, MI"
1286,4040,"LANSING-EAST LANSING, MI"
1292,2640,"FLINT, MI"
1305,3520,"JACKSON, MI"
1311,2160,"DETROIT, MI"
1313,0440,"ANN ARBOR, MI"
1352,24,MINNESOTA
1353,5120,"MINNEAPOLIS-ST. PAUL, MN-WI"
1356,6980,"ST. CLOUD, MN"
1365,2520,"FARGO-MOORHEAD, ND-MN"
1379,3870,"LA CROSSE, WI-MN"
1406,6820,"ROCHESTER, MN"
1411,2985,"GRAND FORKS, ND-MN"
1420,2240,"DULUTH-SUPERIOR, MN-WI"
1440,25,MISSISSIPPI
1457,3285,"HATTIESBURG, MS"
1462,0920,"BILOXI-GULFPORT-PASCAGOULA, MS"
1464,3560,"JACKSON, MS"
1523,26,MISSOURI
1524,7000,"ST. JOSEPH, MO"
1532,1740,"COLUMBIA, MO"
1544,7920,"SPRINGFIELD, MO"
1571,3710,"JOPLIN, MO"
1639,27,MONTANA
1645,3040,"GREAT FALLS, MT"
1670,5140,"MISSOULA, MT"
1694,0880,"BILLINGS, MT"
1697,28,NEBRASKA
1751,4360,"LINCOLN, NE"
1791,29,NEVADA
1805,6720,"RENO, NV"
1809,30,NEW HAMPSHIRE
1815,1123,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA-NH"
1820,0560,"ATLANTIC-CAPE MAY, NJ"
1821,0875,"BERGEN-PASSAIC, NJ"
1822,6160,"PHILADELPHIA, PA-NJ"
1825,8760,"VINELAND-MILLVILLE-BRIDGETON, NJ"
1826,5640,"NEWARK, NJ"
1828,3640,"JERSEY CITY, NJ"
1829,5015,"MIDDLESEX-SOMERSET-HUNTERDON, N"
1830,8480,"TRENTON, NJ"
1832,5190,"MONMOUTH-OCEAN, NJ"
1841,31,
1842,0200,"ALBUQUERQUE, NM"
1843,32,NEW MEXICO
1849,4100,"LAS CRUCES, NM"
1857,7490,"SANTA FE, NM"
1876,0160,"ALBANY-SCHENECTADY-TROY, NY"
1877,33,NEW YORK
1878,5600,"NEW YORK-NEWARK, NY-NJ-PA"
1879,0960,"BINGHAMTON, NY"
1881,8160,"SYRACUSE, NY"
1882,3610,"JAMESTOWN, NY"
1883,2335,"ELMIRA, NY"
1889,2281,"DUTCHESS COUNTY, NY"
1890,1280,"BUFFALO-NIAGARA FALLS, NY"
1894,6840,"ROCHESTER, NY"
1897,8680,"UTICA-ROME, NY"
1905,5380,"NASSAU-SUFFOLK, NY"
1911,5660,"NEWBURGH, NY-PA"
1932,2975,"GLENS FALLS, NY"
1939,3120,"GREENSBORO--WINSTON-SALEM--HIGH POINT, NC"
1940,3290,"HICKORY-MORGANTON-LENOIR, NC"
1941,34,NORTH CAROLINA
1948,9200,"WILMINGTON, NC"
1949,0480,"ASHEVILLE, NC"
1951,1520,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC"
1957,6640,"RALEIGH-DURHAM-CHAPEL HILL, NC"
1964,2560,"FAYETTEVILLE, NC"
1965,5720,"NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC"
1971,6895,"ROCKY MOUNT, NC"
2005,3605,"JACKSONVILLE, NC"
2012,3150,"GREENVILLE, NC"
2034,2980,"GOLDSBORO, NC"
2040,35,NORTH DAKOTA
2047,1010,"BISMARCK, ND"
2094,36,OHIO
2095,4320,"LIMA, OH"
2097,1680,"CLEVELAND-LORAIN-ELYRIA, OH"
2100,9000,"WHEELING, WV-OH"
2102,3200,"HAMILTON-MIDDLETOWN, OH"
2103,1320,"CANTON-MASSILLON, OH"
2105,2000,"DAYTON-SPRINGFIELD, OH"
2108,9320,"YOUNGSTOWN-WARREN, OH"
2110,4800,"MANSFIELD, OH"
2114,1840,"COLUMBUS, OH"
2119,8400,"TOLEDO, OH"
2134,8080,"STEUBENVILLE-WEIRTON, OH-WV"
2160,0080,"AKRON, OH"
2177,6020,"PARKERSBURG-MARIETTA, WV-OH"
2183,37,OKLAHOMA
2191,5880,"OKLAHOMA CITY, OK"
2198,4200,"LAWTON, OK"
2201,8560,"TULSA, OK"
2206,2340,"ENID, OK"
2261,38,OREGON
2262,1890,"CORVALLIS, OR"
2263,6440,"PORTLAND-VANCOUVER,OR-WA"
2275,4890,"MEDFORD-ASHLAND, OR"
2280,2400,"EUGENE-SPRINGFIELD, OR"
2284,7080,"SALEM, OR"
2298,39,PENNSYLVANIA
2299,6280,"PITTSBURGH, PA"
2303,6680,"READING, PA"
2304,0280,"ALTOONA, PA"
2308,3680,"JOHNSTOWN, PA"
2310,0240,"ALLENTOWN-BETHLEHEM-EASTON, PA"
2311,8050,"STATE COLLEGE, PA"
2316,7560,"SCRANTON-WILKES-BARRE-HAZLETON, PA"
2318,3240,"HARRISBURG-LEBANON-CARLISLE, PA"
2322,2360,"ERIE, PA"
2333,4000,"LANCASTER, PA"
2338,9140,"WILLIAMSPORT, PA"
2340,7610,"SHARON, PA"
2364,9280,"YORK, PA"
2366,6483,"PROVIDENCE-WARWICK-PAWTUCKET, RI"
2372,42,SOUTH CAROLINA
2375,3160,"GREENVILLE-SPARTANBURG-ANDERSON, SC"
2379,1440,"CHARLESTON-NORTH CHARLESTON, SC"
2392,2655,"FLORENCE, SC"
2397,5330,"MYRTLE BEACH, SC"
2403,1760,"COLUMBIA, SC"
2414,8140,"SUMTER, SC"
2419,43,SOUTH DAKOTA
2459,7760,"SIOUX FALLS, SD"
2469,6660,"RAPID CITY, SD"
2487,3840,"KNOXVILLE, TN"
2488,44,TENNESSEE
2496,3660,"JOHNSON CITY-KINGSPORT-BRISTOL, TN-VA"
2497,5360,"NASHVILLE, TN"
2498,3580,"JACKSON, TN"
2583,45,TEXAS
2587,9080,"WICHITA FALLS, TX"
2593,0640,"AUSTIN-SAN MARCOS, TX"
2596,3810,"KILLEEN-TEMPLE, TX"
2597,7240,"SAN ANTONIO, TX"
2602,1145,"BRAZORIA, TX"
2603,1260,"BRYAN-COLLEGE STATION, TX"
2613,1240,"BROWNSVILLE-HARLINGEN-SAN BENITO, TX"
2618,3360,"HOUSTON, TX"
2625,1920,"DALLAS, TX"
2650,5800,"ODESSA-MIDLAND, TX"
2653,2320,"EL PASO, TX"
2666,2920,"GALVESTON-TEXAS CITY, TX"
2673,7640,"SHERMAN-DENISON, TX"
2674,4420,"LONGVIEW-MARSHALL, TX"
2682,0840,"BEAUMONT-PORT ARTHUR, TX"
2690,4880,"MCALLEN-EDINBURG-MISSION, TX"
2693,2800,"FORT WORTH-ARLINGTON, TX"
2734,4600,"LUBBOCK, TX"
2737,8800,"WACO, TX"
2760,1880,"CORPUS CHRISTI, TX"
2770,0320,"AMARILLO, TX"
2794,8640,"TYLER, TX"
2803,0040,"ABILENE, TX"
2808,7200,"SAN ANGELO, TX"
2817,8750,"VICTORIA, TX"
2822,4080,"LAREDO, TX"
2838,46,UTAH
2843,7160,"SALT LAKE CITY-OGDEN, UT"
2862,6520,"PROVO-OREM, UT"
2868,47,VERMONT
2871,1303,"BURLINGTON, VT"
2883,49,VIRGINIA
2884,1540,"CHARLOTTESVILLE, VA"
2887,4640,"LYNCHBURG, VA"
2894,6800,"ROANOKE, VA"
2901,6760,"RICHMOND-PETERSBURG, VA"
2951,1950,"DANVILLE, VA"
3021,50,WASHINGTON
3023,6740,"RICHLAND-KENNEWICK-PASCO, WA"
3035,7600,"SEATTLE-BELLEVUE-EVERETT, WA"
3038,1150,"BREMERTON, WA"
3047,8200,"TACOMA, WA"
3052,7840,"SPOKANE, WA"
3054,5910,"OLYMPIA, WA"
3057,0860,"BELLINGHAM, WA"
3059,9260,"YAKIMA, WA"
3061,51,WEST VIRGINIA
3080,1480,"CHARLESTON, WV"
3117,52,WISCONSIN
3121,3080,"GREEN BAY, WI"
3124,0460,"APPLETON-OSHKOSH-NEENAH, WI"
3125,2290,"EAU CLAIRE, WI"
3129,4720,"MADISON, WI"
3146,3800,"KENOSHA, WI"
3153,8940,"WAUSAU, WI"
3157,5080,"MILWAUKEE-WAUKESHA, WI"
3168,6600,"RACINE, WI"
3170,3620,"JANESVILLE-BELOIT, WI"
3176,7620,"SHEBOYGAN, WI"
3190,53,WYOMING
3200,1580,"CHEYENNE, WY"
3202,1350,"CASPER, WY"
3214,40,PUERTO RICO
3215,0060,"AGUADILLA, PR"
3217,7440,"SAN JUAN-BAYAMON, PR"
3219,4840,"MAYAGUEZ, PR"
3220,0470,"ARECIBO, PR"
3226,1310,"CAGUAS, PR"
3244,6360,"PONCE, PR"
