Source,Target,weight
211orangecounty,211tomp_cort,9.450981575755961e-4
211orangecounty,accesshelps,2.3161727495043827e-4
211orangecounty,accgov,0.001473052320436894
211orangecounty,ahfe_multco,0.0012700156126845628
211orangecounty,akronohiomayor,0.0011229921804780294
211orangecounty,alamedacounty,9.543058206912513e-4
211orangecounty,alexandriavagov,0.0019157528568068054
211orangecounty,allchicago_mhh,4.1258263043283163e-4
211orangecounty,allegheny_co,0.0027102480751387647
211orangecounty,alohaunitedway,3.283228183427068e-4
211orangecounty,anchomeless,0.001150772665055257
211orangecounty,arlingtonva,9.516007744766808e-4
211orangecounty,atcaasince1981,1.9398358948198222e-4
211orangecounty,atlantic_county,0.002817185253737821
211orangecounty,atxecho,0.0013172093981460942
211orangecounty,azhousing,0.0011765125974352842
211orangecounty,baltcogov,0.0019810072251213798
211orangecounty,baltimoremohs,0.0016193114705588699
211orangecounty,beaverctypa,0.0012046996710195607
211orangecounty,bostonneighbor,8.717413793817772e-4
211orangecounty,browardcounty,8.25915482730439e-4
211orangecounty,buckscountygovt,0.0010281841498063903
211orangecounty,burlconj,0.001786738739114607
211orangecounty,caajlh,0.0012409842591725108
211orangecounty,cafthmemphis,9.860426290998088e-4
211orangecounty,caguasgovpr,3.4304512573188773e-4
211orangecounty,cambridgedhsp,1.6765874115816753e-4
211orangecounty,capecodgov,0.0017209600712027164
211orangecounty,carrollcomd,0.001324928779966391
211orangecounty,casawspb,1.0340341824332902e-4
211orangecounty,ccehtweets,9.418795222555921e-4
211orangecounty,cecilcohealth,6.703299775795192e-4
211orangecounty,cedobtv,0.0011806339982664616
211orangecounty,cfrpr,0.0020219910444127715
211orangecounty,champaignrpc,9.577597161304677e-4
211orangecounty,chautopp,7.270455156953952e-4
211orangecounty,chemungschuy_cc,8.565432577454527e-4
211orangecounty,chescogovt,0.0016215370102898774
211orangecounty,chnmi,7.921264221265336e-4
211orangecounty,city_of_roanoke,6.72075643019701e-4
211orangecounty,cityknoxvilletn,8.060033194541664e-4
211orangecounty,citylittlerock,0.003296906553393347
211orangecounty,cityofamarillo,9.223370790725047e-4
211orangecounty,cityofasheville,0.0012715123997966693
211orangecounty,cityofaugusta,0.0024401476611973305
211orangecounty,cityofboise,0.0013139835579208097
211orangecounty,cityofdurhamnc,0.0012517850638464345
211orangecounty,cityofhampton,5.032167662403219e-4
211orangecounty,cityoflincoln,0.0016306209225126565
211orangecounty,cityoflowellma,0.0014130770462291015
211orangecounty,cityofmadison,0.0014896548814460045
211orangecounty,cityofmborotn,6.721899077499525e-4
211orangecounty,cityofmodesto,0.0016170163006303771
211orangecounty,cityofokc,0.0014562463613587966
211orangecounty,cityofpeabodyma,0.0010244587816502142
211orangecounty,cityofportsva,0.001342211266406936
211orangecounty,cityofquincy,0.0014907666338068585
211orangecounty,cityofreno,8.224051697102769e-4
211orangecounty,cityofrockford,0.004139294446734861
211orangecounty,cityofsgf,0.0010135545370714013
211orangecounty,cityoftopeka,8.316775038087657e-4
211orangecounty,cityoftrentonnj,0.0013904895347080417
211orangecounty,cityofvabeach,0.001094295261954547
211orangecounty,cityofwaco,0.0017546585994317934
211orangecounty,cityofws,0.0014562269778500142
211orangecounty,citystjoemo,0.001721529045057082
211orangecounty,clackamascounty,0.0029022230690129254
211orangecounty,clarkcountynv,0.0012714589426130153
211orangecounty,claycountymn,8.221424548533505e-4
211orangecounty,cocoalition,0.0019073392372796734
211orangecounty,cocohealth,0.001349203354460585
211orangecounty,cohhio,9.978346785523735e-4
211orangecounty,commshelterbd,4.188181778946408e-4
211orangecounty,communitystc,0.0014549558624131326
211orangecounty,countyeldorado,0.002882502771990056
211orangecounty,countymendocino,0.0030822698571474454
211orangecounty,countyoferie,8.92543011308728e-4
211orangecounty,countyofnapa,0.015034983707942201
211orangecounty,countyofsb,0.0014600824314653239
