Source,Target,weight
211orangecounty,211tomp_cort,8.181784690973068e-4
211orangecounty,accgov,0.002409171341362194
211orangecounty,acdsinc,8.776633922547762e-4
211orangecounty,addresshomeless,0.0015905300005781306
211orangecounty,ahfe_multco,0.0025078822367760123
211orangecounty,akronohiomayor,0.0011185675062489306
211orangecounty,alamedacounty,0.0017282298625021812
211orangecounty,alaskahousing,9.231648972552827e-4
211orangecounty,alexandriavagov,0.0028244778745205056
211orangecounty,allchicago_mhh,0.0016032321132123824
211orangecounty,allegheny_co,0.0014813736226754219
211orangecounty,alohaunitedway,0.00169521450559552
211orangecounty,arlingtonva,0.0014024908933240679
211orangecounty,atcaasince1981,0.0036673220689193257
211orangecounty,atlantic_county,0.0019058955187040525
211orangecounty,atxecho,0.0013222273540902316
211orangecounty,baltcogov,0.0014738341929054221
211orangecounty,beaverctypa,0.0021795132014382555
211orangecounty,bergencountynj,0.003082545453028788
211orangecounty,bostonneighbor,0.0021012791190519004
211orangecounty,browardcounty,0.0026943147798523808
211orangecounty,buckscountygovt,0.001571498894924035
211orangecounty,burlconj,0.0018623717722022336
211orangecounty,caajlh,0.0038824820350628437
211orangecounty,cach_pa,0.0024885282176076214
211orangecounty,cafthmemphis,8.680732524597106e-4
211orangecounty,caguasgovpr,0.003978799843666346
211orangecounty,cambridgedhsp,0.0023654056749695222
211orangecounty,capecodgov,0.00055464901096452795
211orangecounty,capioneervalley,0.005461569627650946
211orangecounty,carrollcomd,0.0012373155078550563
211orangecounty,casawspb,0.009160224105263293
211orangecounty,ccehtweets,0.001340381155893735
211orangecounty,cecilcohealth,9.054813199785788e-4
211orangecounty,cedobtv,4.687178090237358e-4
211orangecounty,cfrpr,0.00383618987781403
211orangecounty,champaignrpc,3.3317674517659943e-4
211orangecounty,chautopp,0.002561515953728927
211orangecounty,chemungschuy_cc,0.0015346599148510856
211orangecounty,chescogovt,0.0020455011789197335
211orangecounty,chipindy,0.0028455081955269827
211orangecounty,chnmi,0.0022218868130385867
211orangecounty,chpartnership,0.0027553487375032355
211orangecounty,city_of_roanoke,0.0018275864768362525
211orangecounty,cityknoxvilletn,0.001012635474020633
211orangecounty,citylittlerock,0.0019042494606506997
211orangecounty,cityofamarillo,0.0011616236164758993
211orangecounty,cityofasheville,0.0010230320439661897
211orangecounty,cityofaugusta,0.0018419704003078334
211orangecounty,cityofboise,9.05658161085682e-4
211orangecounty,cityofdurhamnc,8.585845267015727e-4
211orangecounty,cityofhampton,0.0013046945341076731
211orangecounty,cityoflincoln,0.001023733263177121
211orangecounty,cityoflowellma,0.0021470562704793373
211orangecounty,cityofmadison,6.364124110430408e-4
211orangecounty,cityofmborotn,7.690235247310885e-4
211orangecounty,cityofmodesto,6.861484451765161e-4
211orangecounty,cityofnormanok,5.287734921931681e-4
211orangecounty,cityofokc,0.0014280959853177175
211orangecounty,cityofpeabodyma,0.0012048776022446292
211orangecounty,cityofportsva,0.00127449956001987
211orangecounty,cityofquincy,0.0010017742590366
211orangecounty,cityofreno,4.3685629377807414e-4
211orangecounty,cityofrockford,4.079392760375343e-4
211orangecounty,cityofsgf,7.43756117377457e-4
211orangecounty,cityoftopeka,0.0028495189788694487
211orangecounty,cityofvabeach,0.0013274040230621838
211orangecounty,cityofwaco,0.0030445804818571036
211orangecounty,cityofws,0.0014505306693190256
211orangecounty,citystjoemo,9.220981123017066e-4
211orangecounty,clackamascounty,0.0019747035991993208
211orangecounty,clarkcountynv,0.001562496799269246
211orangecounty,claycountymn,2.8799563487663405e-4
211orangecounty,coalicionpr,0.0013073854026991606
211orangecounty,cocoalition,0.0015175309986691274
211orangecounty,cocohealth,0.0018963925137746123
211orangecounty,cohhio,8.225238389151955e-4
211orangecounty,collierhomeless,8.733047307609305e-4
211orangecounty,commshelterbd,0.002664450931734294
211orangecounty,communitystc,0.0018367609279476918
211orangecounty,countyeldorado,0.0022922065858676384
211orangecounty,countymendocino,0.0015080205634941581
211orangecounty,countyofsb,0.0031997648315664345
211orangecounty,countyofslo,0.0018667259896359575
211orangecounty,countyofunionnj,0.0021819043569250214
211orangecounty,countyventura,0.007403752611440624
211orangecounty,ctdmhas,0.001231932476286172
211orangecounty,cumberlandnc,9.494678480853777e-4
