Source,Target,weight
211orangecounty,211tomp_cort,0.001646113940291495
211orangecounty,accgov,0.0011372068483190185
211orangecounty,acdsinc,0.0031380193975825855
211orangecounty,addresshomeless,0.00273146943912483
211orangecounty,ahfe_multco,7.305496896834634e-4
211orangecounty,akronohiomayor,9.257951363185329e-4
211orangecounty,alamedacounty,0.002542187962907873
211orangecounty,alaskahousing,0.0011963959112205392
211orangecounty,alexandriavagov,0.0013488527544045516
211orangecounty,allchicago_mhh,0.0021674237989775533
211orangecounty,allegheny_co,0.0012444149946600276
211orangecounty,alohaunitedway,0.0023041423334845
211orangecounty,arlingtonva,0.0011471986603045416
211orangecounty,atcaasince1981,0.0015504379367739828
211orangecounty,atlantic_county,0.002451589645411351
211orangecounty,atxecho,0.0018301974727453494
211orangecounty,azhousing,0.0014005803096874298
211orangecounty,baltcogov,0.0012750733311223687
211orangecounty,beaverctypa,3.664797647081634e-4
211orangecounty,bostonneighbor,0.0012520901860987922
211orangecounty,browardcounty,0.0015275129082976246
211orangecounty,buckscountygovt,0.005048049510689011
211orangecounty,burlconj,0.0016381002836052116
211orangecounty,caajlh,9.562051219797617e-4
211orangecounty,cach_pa,0.0022159072747397345
211orangecounty,cafthmemphis,0.0026398022557543106
211orangecounty,caguasgovpr,9.758936284149154e-5
211orangecounty,cambridgedhsp,0.0018249901091151762
211orangecounty,capecodgov,7.238009833024242e-4
211orangecounty,carrollcomd,8.936881111656685e-4
211orangecounty,ccehtweets,0.0014675289240185109
211orangecounty,cecilcohealth,0.002128423093343049
211orangecounty,cedobtv,0.0013614891889612978
211orangecounty,ceoweinbergfb,0.0036834554027440156
211orangecounty,cfrpr,0.0018948836768664082
211orangecounty,champaignrpc,0.0012987387521759138
211orangecounty,chautopp,0.0018092278745483923
211orangecounty,chemungschuy_cc,0.001610771047579361
211orangecounty,chescogovt,9.69477999656426e-4
211orangecounty,chipindy,0.0010054506511104461
211orangecounty,chnmi,0.0020543630842504395
211orangecounty,city_of_roanoke,0.0010684224339788189
211orangecounty,cityknoxvilletn,0.0011224599614069496
211orangecounty,citylittlerock,0.0014213658267185612
211orangecounty,cityofamarillo,7.411298835205471e-4
211orangecounty,cityofasheville,8.288450804709314e-4
211orangecounty,cityofaugusta,5.337621176337276e-4
211orangecounty,cityofboise,0.0019040283135322036
211orangecounty,cityofdurhamnc,0.001007275589784607
211orangecounty,cityofhampton,0.0010637833414960708
211orangecounty,cityoflincoln,7.709897795261405e-4
211orangecounty,cityoflowellma,2.839021088566302e-4
211orangecounty,cityofmadison,0.0014091665562954317
211orangecounty,cityofmborotn,8.149995944705127e-4
211orangecounty,cityofmodesto,6.967225329781606e-4
211orangecounty,cityofnormanok,8.150473496565286e-4
211orangecounty,cityofokc,0.0010592991112979597
211orangecounty,cityofpeabodyma,7.384447808934852e-4
211orangecounty,cityofportsva,8.892210671404216e-4
211orangecounty,cityofquincy,0.0010294373653426103
211orangecounty,cityofreno,0.0012021971418645458
211orangecounty,cityofrockford,0.0013729602065153332
211orangecounty,cityofsgf,0.0013075106592802988
211orangecounty,cityoftopeka,9.852668805707047e-4
211orangecounty,cityoftrentonnj,9.325623687597541e-4
211orangecounty,cityofvabeach,0.0014570377327927484
211orangecounty,cityofwaco,0.002174781757236574
211orangecounty,cityofws,0.0022537468471715144
211orangecounty,citystjoemo,8.772990018147927e-4
211orangecounty,clackamascounty,0.001745287691320597
211orangecounty,clarkcountynv,0.0012487944242569355
211orangecounty,claycountymn,4.514869806213884e-4
211orangecounty,cmhp_inc,0.0019756525269940565
211orangecounty,coalicionpr,7.072282989711839e-4
211orangecounty,cocoalition,0.0018504977183756433
211orangecounty,cocohealth,0.003606365272161785
211orangecounty,cohhio,0.001119200695796055
211orangecounty,commshelterbd,0.002042970925686451
211orangecounty,communitystc,0.0010741340805839683
211orangecounty,countyeldorado,0.0018399429942283268
211orangecounty,countymendocino,0.0036523300651375118
211orangecounty,countyofnapa,0.007471298295940761
211orangecounty,countyofsb,0.0026024458403573485
211orangecounty,countyofslo,0.001922220168604011
211orangecounty,countyofunionnj,0.0013406401388556396
211orangecounty,countyventura,0.002051946727463393
211orangecounty,ctdmhas,0.0010681910098745552
211orangecounty,cumberlandnc,0.0032536108331548824
211orangecounty,cuyahogahhs,0.0017298234244883118
211orangecounty,decipherhmis,0.001352084283590667
211orangecounty,delcocouncil,0.0025535458798419237
211orangecounty,deptofamiliapr,1.4764489765939636e-4
211orangecounty,desmoinesgov,0.001058919864845892
211orangecounty,dhhsnevada,0.001393933955340532
211orangecounty,doveinc_il,0.002093781354184145
211orangecounty,dupagecounty,0.00139599890866207
211orangecounty,dutchesscogov,0.0016241049071126052
211orangecounty,empowertehama,6.109245841029013e-4
211orangecounty,eschelps,0.0013702652715059896
211orangecounty,fairfaxcounty,0.0013504584157099937
211orangecounty,fcsabq,0.001545415838052617
211orangecounty,firsthomesd,0.0011331578937341929
211orangecounty,fitnh,0.0034436605869405485
211orangecounty,flaglerhospital,0.0010174424185458025
211orangecounty,fredcitygovt,0.0011519876450600962
211orangecounty,fresnohousing,0.0014797970758397565
211orangecounty,fultoninfo,9.318956595761128e-4
211orangecounty,ga_dca,0.0011035027676923011
211orangecounty,handsonrr,5.184923127280603e-4
211orangecounty,harrisonburgva,0.0012144691390835764
211orangecounty,havenforhope,0.001585127725857664
211orangecounty,hawny716,9.709578006384955e-4
211orangecounty,hennepin,0.0014766183963684165
211orangecounty,hocogov,0.0014767381543191098
211orangecounty,hoiunitedway,0.003225904614798046
211orangecounty,homelesschange,0.0010939136251488482
211orangecounty,homelesshou,0.0016950884615241568
211orangecounty,homewardva,0.002051946174035621
211orangecounty,honorehg,8.849197141581803e-4
211orangecounty,hosphousenwnc,0.0020681936058534944
211orangecounty,hudcotweet,0.0010198693268294542
211orangecounty,humcodhhs,0.0018647725316745473
211orangecounty,hwmuw,0.0026926305036190003
211orangecounty,idahohousing,0.0017362169583594518
211orangecounty,ihcda,0.0014707459114618317
211orangecounty,imperialcntyca,0.0016394022719103906
211orangecounty,indydmd,0.0012398300326116282
211orangecounty,itsindekalb,0.0011548117151480982
211orangecounty,jobsut,0.0011828900415700497
211orangecounty,joe_d_essexexec,0.0015254733665781273
211orangecounty,kibois_caf,0.0013531976154199446
211orangecounty,kingcountywa,0.0020359692096269377
211orangecounty,kingsunitedway,5.729669298250926e-4
211orangecounty,kt_alliance,0.0020976844301319655
211orangecounty,kyhousing,0.001191481370642713
211orangecounty,lahomeless,0.001690305690203147
211orangecounty,lahousingcorp,0.0014735855885088898
211orangecounty,lakecountyil,0.0015807313553192666
211orangecounty,lanecountygov,0.001632227854924236
211orangecounty,lansingmichigan,0.001114809835910743
211orangecounty,lbhealthdept,0.0019130639737948536
211orangecounty,lexingtonkygov,0.0015226541325771444
211orangecounty,lghealth,0.001560265139750807
211orangecounty,locatesiouxcity,0.001457794857260527
211orangecounty,loudouncogovt,0.0011333878354632236
211orangecounty,louhomeless,0.002246361388482082
211orangecounty,macch_oma,0.002700562509328905
211orangecounty,magregion,0.001020287827120522
211orangecounty,maine_housing,0.0020629393326633996
211orangecounty,marinhhs,0.0028699986467182826
211orangecounty,mayorofmke,0.0011191106001885887
211orangecounty,mchenrycountyil,0.0011937900717821596
211orangecounty,mcohio,0.0011286886827867443
211orangecounty,meckcounty,0.0015250868764709268
211orangecounty,mercedcounty,0.0017230823479863365
211orangecounty,mercyhealthwm,7.080942700339884e-4
211orangecounty,miamidadecounty,0.0011158067414741982
211orangecounty,midalhomeless,0.0011778089325557746
211orangecounty,middlesexcntynj,0.0017749479210088092
211orangecounty,mihomeless,0.0014818923670821475
211orangecounty,miriamshouselyh,0.0017699302905015179
211orangecounty,monarchhousing,0.001681543991998724
211orangecounty,monmouthgovnj,0.0011967768499711628
211orangecounty,montcopa,0.002289348514404043
211orangecounty,montgomerycomd,0.0015852933971135896
