Source,Target,weight
211orangecounty,211tomp_cort,0.0015316932607351878
211orangecounty,accesshelps,7.260475941927071e-4
211orangecounty,accgov,0.0011426105374876502
211orangecounty,acdsinc,0.0035519519136030307
211orangecounty,ahfe_multco,0.0024738488014627758
211orangecounty,akronohiomayor,0.0011470090630582182
211orangecounty,alamedacounty,0.001127807212941454
211orangecounty,alaskahousing,0.008643669338106716
211orangecounty,alexandriavagov,7.780968501536746e-4
211orangecounty,allchicago_mhh,0.0010747119480267115
211orangecounty,allegheny_co,0.0011837244579803617
211orangecounty,alohaunitedway,0.002765966411036737
211orangecounty,anchomeless,2.795374241813374e-4
211orangecounty,arlingtonva,0.0012465843932018335
211orangecounty,atcaasince1981,5.138022421452892e-5
211orangecounty,atxecho,0.0021088949685543774
211orangecounty,azhousing,0.009055157433129339
211orangecounty,baltcogov,9.223522189778987e-4
211orangecounty,baltimoremohs,0.001226219848311269
211orangecounty,bostonneighbor,0.001170376025112215
211orangecounty,browardcounty,8.045223814232731e-4
211orangecounty,buckscountygovt,8.691911328692356e-4
211orangecounty,burlconj,8.796535416355641e-4
211orangecounty,caajlh,6.635785197002804e-4
211orangecounty,cafthmemphis,9.350197737799189e-4
211orangecounty,caguasgovpr,1.2262287220017205e-4
211orangecounty,cambridgedhsp,0.0016166656977923996
211orangecounty,capecodgov,7.876170157839227e-4
211orangecounty,carrollcomd,5.518778728981996e-4
211orangecounty,casawspb,7.570993612647639e-4
211orangecounty,ccehtweets,6.39885903058511e-4
211orangecounty,cecilcohealth,4.3855923853032243e-4
211orangecounty,cedobtv,3.584118381722822e-4
211orangecounty,cfrpr,0.001968965993085264
211orangecounty,champaignrpc,0.002981822599711921
211orangecounty,chautopp,0.0013053392565491103
211orangecounty,chemungschuy_cc,0.0016629418490200644
211orangecounty,chescogovt,6.940619693633412e-4
211orangecounty,chipindy,4.2524347278107536e-4
211orangecounty,chnmi,0.04869383371609255
211orangecounty,city_of_roanoke,0.0011824537190028232
211orangecounty,cityknoxvilletn,8.988050047654445e-4
211orangecounty,citylittlerock,0.0013047566395608158
211orangecounty,cityofamarillo,0.001084983814994074
211orangecounty,cityofasheville,0.001377884685489124
211orangecounty,cityofaugusta,0.0012917906114931022
211orangecounty,cityofboise,3.4246497202013805e-4
211orangecounty,cityofdurhamnc,0.0016692432592553402
211orangecounty,cityofhampton,0.0022524082343401124
211orangecounty,cityoflincoln,9.425807363244899e-4
211orangecounty,cityoflowellma,0.001675227620038622
211orangecounty,cityofmadison,4.605077259690083e-4
211orangecounty,cityofmborotn,7.350872930345641e-4
211orangecounty,cityofmodesto,8.065341843635508e-4
211orangecounty,cityofnormanok,0.0034290480527159723
211orangecounty,cityofokc,0.0014809868758421504
211orangecounty,cityofpeabodyma,8.228077860422923e-4
211orangecounty,cityofportsva,0.0011663107553663203
211orangecounty,cityofquincy,7.18755945753581e-4
211orangecounty,cityofreno,7.411799600076659e-4
211orangecounty,cityofrockford,0.0015129959118311749
211orangecounty,cityofsgf,0.0011900812823170822
211orangecounty,cityoftopeka,0.0026206292204183574
211orangecounty,cityoftrentonnj,0.0016438351775963872
211orangecounty,cityofvabeach,0.0010574298629531856
211orangecounty,cityofwaco,0.002095326375951988
211orangecounty,cityofws,0.0010775373354812386
211orangecounty,citystjoemo,0.001493658761452593
211orangecounty,clackamascounty,0.002675194782055967
211orangecounty,clarkcountynv,8.220026796825002e-4
211orangecounty,claycountymn,0.0016958984205055296
211orangecounty,coalicionpr,9.468576612025896e-6
211orangecounty,cocoalition,0.0015531440493943972
211orangecounty,cocohealth,3.6837787671261773e-4
211orangecounty,cohhio,0.0010402157007670196
211orangecounty,commshelterbd,6.156084524395559e-4
211orangecounty,communitystc,0.001343973028280917
211orangecounty,countyeldorado,2.0052145252004574e-4
211orangecounty,countymendocino,7.791763011129449e-4
211orangecounty,countyoferie,1.745802430057959e-4
211orangecounty,countyofnapa,0.0013861643249909127
211orangecounty,countyofsb,4.2325089823513304e-4
211orangecounty,countyofslo,0.0010068502677166794
211orangecounty,countyofunionnj,8.804457246222521e-4
211orangecounty,countyventura,0.0011104267167682026
211orangecounty,crisisnetworkaz,7.043404123733063e-4
211orangecounty,ctdmhas,6.881142242311395e-4
211orangecounty,cumberlandnc,7.772940828738095e-4
211orangecounty,cuyahogahhs,9.184843525018525e-4
211orangecounty,decipherhmis,6.024484008438313e-4
211orangecounty,delcocouncil,8.600653611127274e-4
211orangecounty,deptofamiliapr,2.783203546401186e-5
211orangecounty,desmoinesgov,0.0013986959929258886
211orangecounty,dhhsnevada,0.0014022622456305901
211orangecounty,doveinc_il,5.673240675282477e-4
211orangecounty,dupagecounty,9.189625818048009e-4
211orangecounty,dutchesscogov,9.101697244323759e-4
211orangecounty,fairfaxcounty,9.867779522375593e-4
211orangecounty,fcsabq,0.005469345788601062
211orangecounty,flacrany,4.371859670638233e-4
211orangecounty,fpsussex,0.0036930863957623725
211orangecounty,fredcitygovt,0.0014985046578910274
211orangecounty,fresnohousing,6.705060586906433e-4
211orangecounty,fultoninfo,0.0014384312711403318
211orangecounty,ga_dca,0.0010370204895773527
211orangecounty,glenncohhsa,0.0015943354468907782
211orangecounty,harborcare,7.31993578787537e-4
211orangecounty,harfordcaa,0.0026018972389182517
211orangecounty,harrisonburgva,0.0013490783415210737
211orangecounty,havenforhope,5.887319757011491e-4
211orangecounty,hawny716,6.140712381076647e-4
211orangecounty,hennepin,9.034811766237782e-4
211orangecounty,hhccny,6.324508695021997e-4
211orangecounty,hocogov,0.0014785954597505817
211orangecounty,hoiunitedway,0.0015993527748625201
211orangecounty,homelesshou,0.0016435732115432616
211orangecounty,hosphousenwnc,0.0011831238913801937
211orangecounty,hsncfl,5.433632935956442e-4
211orangecounty,hudcotweet,0.001178154447674647
211orangecounty,humcodhhs,0.0021401729585781137
211orangecounty,hwmuw,9.752187675380268e-4
211orangecounty,idahohousing,0.001713977181787604
211orangecounty,ihcda,0.0018359220408957053
211orangecounty,imperialcntyca,0.0018337433049104598
211orangecounty,indydmd,6.506062139942677e-4
211orangecounty,itsindekalb,0.0015551063393738386
211orangecounty,jobsut,7.923060883516936e-4
211orangecounty,joe_d_essexexec,6.469552981906092e-4
211orangecounty,kibois_caf,0.002029899510462284
211orangecounty,kingcountywa,0.0018443122579292045
211orangecounty,kingsunitedway,0.0011061191567072553
211orangecounty,kt_alliance,3.6543343705253747e-4
211orangecounty,kyhousing,0.0014691259764355094
211orangecounty,lahomeless,0.0023575381948005756
211orangecounty,lahousingcorp,0.001570753093212715
211orangecounty,lanecountygov,5.06292190730434e-4
211orangecounty,lansingmichigan,0.0011361775282379167
211orangecounty,lbhealthdept,3.403109712640914e-4
211orangecounty,leecountyflbocc,9.517159523752336e-4
211orangecounty,lexingtonkygov,0.0015815071692120773
211orangecounty,lghealth,8.297684915142253e-4
211orangecounty,locatesiouxcity,9.48370504769646e-4
211orangecounty,loudouncogovt,6.109196159018531e-4
211orangecounty,louhomeless,9.738584977394638e-4
211orangecounty,m_d_h_i,0.0015449709698795774
211orangecounty,magregion,7.680780419638198e-4
211orangecounty,maine_housing,0.004911823910801869
211orangecounty,marinhhs,6.303033638444741e-4
211orangecounty,mayorofmke,0.0011026821533034836
211orangecounty,mchenrycountyil,0.0010117548191513682
211orangecounty,mcohio,6.099104603208658e-4
211orangecounty,meckcounty,0.0010972870580132888
211orangecounty,mercedcounty,9.129556328280048e-4
211orangecounty,mercyhealthwm,3.875505112357859e-4
211orangecounty,metrocommunity2,0.00406921945259774
211orangecounty,miamidadecounty,0.0013352284463151686
211orangecounty,middlesexcntynj,0.002426673332483256
211orangecounty,mihomeless,0.0013375021103693727
211orangecounty,miriamshouselyh,8.440951622859164e-5
211orangecounty,monmouthgovnj,6.875967229473157e-4
211orangecounty,montcopa,8.728011623154678e-4
211orangecounty,montgomerycomd,7.165610847675091e-4
211orangecounty,morriscountynj,7.681933322112087e-4
211orangecounty,msbehavioral,6.149823331989424e-4
211orangecounty,mshda,0.0012533382295445688
211orangecounty,myglendale,0.0010458981930078519
211orangecounty,nashvillemdha,9.220870506723574e-4
211orangecounty,nashvillemss,6.183504478931382e-4
211orangecounty,ndchp,4.1177705893167687e-4
211orangecounty,newbedford_ma,0.0026263229895307203
211orangecounty,nhdhhspio,2.3527659285334766e-4
211orangecounty,njhousing,0.0019200268954448455
211orangecounty,nmf_1986,1.6623013716465237e-4
211orangecounty,nycdhs,4.108564408844752e-4
211orangecounty,nysotda,0.0025246897956473363
211orangecounty,ochealth,0.002855715604828412
211orangecounty,ocncgov,0.0017751914907622119
211orangecounty,ohiodevelopment,0.0018318871556191856
211orangecounty,olhsacommaction,0.003975976111243074
211orangecounty,one80place,8.748012236313751e-4
211orangecounty,oregonhcs,0.004713905351025584
211orangecounty,padcednews,0.0013192219324376997
211orangecounty,partnersforhome,0.0012451324820239068
211orangecounty,pasadenagov,0.0018848035263703646
211orangecounty,passaic_county,2.847948124170597e-4
211orangecounty,pbcgov,0.0010877949349787884
211orangecounty,pgcdss,0.0010938560071654313
211orangecounty,phlcityhomeless,0.001724613395357312
211orangecounty,pierceco,0.001486224884335275
211orangecounty,pwcgov,0.001555551804583953
211orangecounty,ramseycounty,0.00104879026115478
211orangecounty,rihousing,3.724917796240315e-4
211orangecounty,rivcodpss,7.616549118485196e-4
211orangecounty,rtfhsd,9.055018974493356e-4
211orangecounty,rupco_,0.0012213760310128914
211orangecounty,saintlouco,0.0013541825487446487
211orangecounty,sanmateoco,9.957145613684374e-4
211orangecounty,sarahomeless,0.0015777035878236875
